,name,imageUrl,area,profileUrl,office,tags,isLoggedUser,positionName,id,parentId,size
0,Joshua2 Clark,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Office of the President and Chief Public Health Officer (OPCPHO),Public Health,false,President - Office of the President and Chief Public Health Officer (OPCPHO),646d2f34-88cc-4c39-9cdf-1b4b9514731c,,1
1,Brian2 Klein,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Chief Financial Officer & Corporate Management Branch (CFOCMB),Public Health,false,Vice President - Chief Financial Officer & Corporate Management Branch (CFOCMB),2dea2cd1-4918-4e97-aaf5-c5f8e3f840e7,646d2f34-88cc-4c39-9cdf-1b4b9514731c,1
2,Brandi2 Brady,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Corporate Management Directorate (CMD),Public Health,false,Director General - Corporate Management Directorate (CMD),1af68f46-5780-4f86-838e-9c5b7a51c945,2dea2cd1-4918-4e97-aaf5-c5f8e3f840e7,1
3,Brian2 Huang,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Business Modernization Project Division,Public Health,false,Director - Business Modernization Project Division,23201c9b-816f-4ec1-bf43-7b82ea739ee4,1af68f46-5780-4f86-838e-9c5b7a51c945,1
4,Sean2 Kelly,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Business Modernization Project Division Team 1,Public Health,false,Manager - Business Modernization Project Division Team 1,b0489870-81fd-4237-9fb1-e8c3dcb96164,23201c9b-816f-4ec1-bf43-7b82ea739ee4,1
5,Mark2 Reed,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Business Modernization Project Division Team 2,Public Health,false,Manager - Business Modernization Project Division Team 2,c390638d-ed1f-422b-aed6-72cd629358cf,23201c9b-816f-4ec1-bf43-7b82ea739ee4,1
6,Cassie2 Murphy,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Business Modernization Project Division Team 3,Public Health,false,Manager - Business Modernization Project Division Team 3,31cd69ce-1534-4b0f-b00f-28c55174c6e8,23201c9b-816f-4ec1-bf43-7b82ea739ee4,1
7,Jessica2 Greene,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Deputy Chief Financial Officer (DCFO),Public Health,false,Director General - Deputy Chief Financial Officer (DCFO),7a0b0f4c-01e8-444d-ba48-05b1aa4de207,2dea2cd1-4918-4e97-aaf5-c5f8e3f840e7,1
8,Antonio2 Ayala,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Centre for Grants & Contributions Division,Public Health,false,Director - Centre for Grants & Contributions Division,7c4fd922-32ec-45a9-85d3-276a9c1296fa,7a0b0f4c-01e8-444d-ba48-05b1aa4de207,1
9,Tiffany2 Andrews,https://raw.githubusercontent.com/bumbeishvili/Assets/master/Projects/D3/Organization%20Chart/general.jpg,Public Health,http://example.com/employee/profile,Centre for Grants & Contributions Division Team 1,Public Health,false,Manager - Centre for Grants & Contributions Division Team 1,e2415a3d-519a-4280-9b11-5c52cb67c175,7c4fd922-32ec-45a9-85d3-276a9c1296fa,1
